t,x,y,z,roll,pitch,yaw,valid
0.0,0.898692,-0.534161,-0.590381,-1.245392,13.051473,95.981499,1
0.033333,0.898692,-0.534161,-0.590381,-1.245392,13.051473,95.981499,1
0.066667,0.898692,-0.534161,-0.590381,-1.245392,13.051473,95.981499,1
0.1,0.898692,-0.534161,-0.590381,-1.245392,13.051473,95.981499,1
0.133333,0.898692,-0.534161,-0.590381,-1.245392,13.051473,95.981499,1
0.166667,0.898692,-0.534161,-0.590381,-1.245392,13.051473,95.981499,1
0.2,0.898692,-0.534161,-0.590381,-1.245392,13.051473,95.981499,1
0.233333,0.898692,-0.534161,-0.590381,-1.245392,13.051473,95.981499,1
0.266667,0.898692,-0.534161,-0.590381,-1.245392,13.051473,95.981499,1
0.3,0.898692,-0.534161,-0.590381,-1.245392,13.051473,95.981499,1
0.333333,0.898692,-0.534161,-0.590381,-1.245392,13.051473,95.981499,1
0.366667,0.898692,-0.534161,-0.590381,-1.245392,13.051473,95.981499,1
0.4,0.89671,-0.534318,-0.589994,-1.251891,12.862284,97.337112,1
0.433333,0.890908,-0.53482,-0.589556,-1.286926,12.4954,101.218712,1
0.466667,0.888317,-0.53527,-0.589421,-1.309875,12.372087,102.966316,1
0.5,0.883968,-0.536379,-0.588933,-1.374055,12.229542,105.816078,1
0.533333,0.879679,-0.5374,-0.589101,-1.436126,12.307925,108.87867,1
0.566667,0.875352,-0.538948,-0.589357,-1.519928,12.506909,112.181984,1
0.6,0.871294,-0.540713,-0.589941,-1.585022,12.77511,115.536171,1
0.633333,0.867346,-0.54302,-0.590224,-1.502258,12.943426,118.767586,1
0.666667,0.863582,-0.545453,-0.590553,-1.256378,13.064362,121.756256,1
0.7,0.860363,-0.54774,-0.590582,-1.037201,13.129467,124.506554,1
0.733334,0.858009,-0.549981,-0.590661,-0.662415,13.097953,126.856171,1
0.766667,0.856435,-0.551931,-0.59079,-0.350281,13.108082,128.760345,1
0.8,0.855428,-0.553343,-0.591031,-0.282928,13.270504,130.262253,1
0.833334,0.855052,-0.55438,-0.590427,-0.432098,12.992153,131.336548,1
0.866667,0.855131,-0.554637,-0.589563,-0.761871,12.390625,131.895172,1
0.9,0.854858,-0.554837,-0.588057,-1.099274,11.373056,132.262421,1
0.933334,0.854373,-0.554613,-0.585302,-1.246124,9.400328,132.541382,1
0.966667,0.853318,-0.554918,-0.582324,-1.201233,7.23248,132.98114,1
1.0,0.851691,-0.555163,-0.579464,-1.297363,5.332369,133.651169,1
1.033334,0.849843,-0.555686,-0.576399,-1.249359,3.535545,134.575531,1
1.066667,0.847878,-0.556546,-0.573543,-1.083557,1.840469,135.74884,1
1.1,0.84531,-0.557959,-0.570789,-1.169617,0.335697,137.200851,1
1.133334,0.842604,-0.559743,-0.568809,-1.301269,-0.806119,138.833252,1
1.166667,0.839671,-0.561808,-0.56658,-1.576904,-1.854396,140.667679,1
1.2,0.836994,-0.564567,-0.564014,-1.892273,-3.1625,142.728058,1
1.233333,0.834155,-0.567474,-0.562357,-1.848664,-3.961305,144.93634,1
1.266667,0.831255,-0.570537,-0.561566,-1.856689,-4.328639,146.962906,1
1.3,0.82878,-0.573567,-0.561265,-2.107971,-4.461787,149.014526,1
1.333333,0.827205,-0.576063,-0.560526,-2.273651,-4.823445,150.848892,1
1.366667,0.825695,-0.578089,-0.560009,-2.515442,-4.9917,152.318756,1
1.4,0.824367,-0.579476,-0.560021,-2.840851,-4.986113,153.347244,1
1.433333,0.82341,-0.579283,-0.560347,-3.167725,-4.847194,153.829361,1
1.466667,0.823419,-0.578046,-0.560199,-3.471161,-4.796015,153.712143,1
1.5,0.823883,-0.576293,-0.559577,-3.752533,-4.883182,153.145508,1
1.533333,0.824622,-0.573837,-0.558742,-3.930605,-5.139007,152.258179,1
1.566666,0.825571,-0.571083,-0.557619,-3.975739,-5.474546,151.027237,1
1.6,0.82653,-0.568515,-0.556689,-4.023011,-5.864407,149.80217,1
1.633333,0.827734,-0.566093,-0.555641,-4.015167,-6.396643,148.662781,1
1.666666,0.828945,-0.563959,-0.554508,-4.030641,-6.933529,147.527069,1
