t,x,y,z,roll,pitch,yaw,valid
0.0,-0.409046,0.687174,-0.399079,-1.434326,-3.33902,-56.075882,1
0.033333,-0.409046,0.687174,-0.399079,-1.434326,-3.33902,-56.075882,1
0.066667,-0.409046,0.687174,-0.399079,-1.434326,-3.33902,-56.075882,1
0.1,-0.409046,0.687174,-0.399079,-1.434326,-3.33902,-56.075882,1
0.133333,-0.409046,0.687174,-0.399079,-1.434326,-3.33902,-56.075882,1
0.166667,-0.409046,0.687174,-0.399079,-1.434326,-3.33902,-56.075882,1
0.2,-0.409046,0.687174,-0.399079,-1.434326,-3.33902,-56.075882,1
0.233333,-0.409046,0.687174,-0.399079,-1.434326,-3.33902,-56.075882,1
0.266667,-0.409046,0.687174,-0.399079,-1.434326,-3.33902,-56.075882,1
0.3,-0.409046,0.687174,-0.399079,-1.434326,-3.33902,-56.075882,1
0.333333,-0.409046,0.687174,-0.399079,-1.434326,-3.33902,-56.075882,1
0.366667,-0.409046,0.687174,-0.399079,-1.434326,-3.33902,-56.075882,1
0.4,-0.409064,0.6852,-0.398798,-1.587616,-3.500909,-56.566818,1
0.433333,-0.409064,0.6852,-0.398798,-1.587616,-3.500909,-56.566818,1
0.466667,-0.409064,0.6852,-0.398798,-1.587616,-3.500909,-56.566818,1
0.5,-0.40888,0.684724,-0.398655,-1.591431,-3.590173,-56.648781,1
0.533333,-0.408726,0.684295,-0.398346,-1.627839,-3.67889,-56.73204,1
0.566667,-0.408953,0.683472,-0.397901,-1.584808,-3.879971,-56.830971,1
0.6,-0.40903,0.682082,-0.397513,-1.643585,-4.149927,-56.977211,1
0.633333,-0.408792,0.681426,-0.397067,-1.647675,-4.300137,-57.077469,1
0.666667,-0.408834,0.680743,-0.396821,-1.675689,-4.436549,-57.192543,1
0.7,-0.408839,0.680416,-0.396561,-1.692993,-4.585659,-57.297554,1
0.733334,-0.408357,0.680326,-0.39614,-1.720612,-4.730834,-57.388256,1
0.766667,-0.408132,0.680191,-0.395757,-1.730804,-4.917627,-57.436069,1
0.8,-0.40817,0.680006,-0.395251,-1.750642,-5.110771,-57.432812,1
0.833334,-0.407981,0.679581,-0.394945,-1.763276,-5.289039,-57.403297,1
0.866667,-0.407455,0.679323,-0.394449,-1.737518,-5.474669,-57.352726,1
0.9,-0.407061,0.67914,-0.39381,-1.68158,-5.73505,-57.277569,1
0.933334,-0.406651,0.678969,-0.393061,-1.650971,-6.096435,-57.166367,1
0.966667,-0.406298,0.678864,-0.392242,-1.595093,-6.529572,-57.023273,1
1.0,-0.405605,0.679172,-0.391178,-1.527252,-7.053126,-56.890293,1
1.033334,-0.405149,0.678832,-0.389811,-1.504944,-7.633938,-56.770058,1
1.066667,-0.404505,0.678794,-0.388318,-1.442566,-8.309355,-56.658634,1
1.1,-0.404163,0.678618,-0.386595,-1.433959,-8.964841,-56.503307,1
1.133334,-0.403837,0.678236,-0.384728,-1.58078,-9.702386,-56.318432,1
1.166667,-0.403723,0.677993,-0.382716,-1.747406,-10.54144,-56.182526,1
1.2,-0.403496,0.678059,-0.380369,-1.879974,-11.451754,-56.143166,1
1.233333,-0.403891,0.677886,-0.37777,-2.007233,-12.526238,-56.18784,1
1.266667,-0.404368,0.677701,-0.374928,-2.108185,-13.642059,-56.351913,1
1.3,-0.405006,0.677579,-0.37191,-2.160035,-14.807337,-56.663399,1
1.333333,-0.406088,0.677279,-0.368294,-2.217284,-16.187309,-57.020721,1
1.366667,-0.407037,0.677534,-0.364189,-2.362122,-17.786467,-57.373516,1
1.4,-0.408327,0.6775,-0.359572,-2.688447,-19.534906,-57.67503,1
1.433333,-0.409655,0.678293,-0.354546,-3.212004,-21.412745,-57.992619,1
1.466667,-0.411059,0.67899,-0.349507,-3.623872,-23.203211,-58.333843,1
1.5,-0.412497,0.679958,-0.34463,-3.876407,-24.898102,-58.751698,1
1.533333,-0.414028,0.680946,-0.341444,-4.054996,-26.323486,-59.021465,1
1.566666,-0.415077,0.681923,-0.339217,-3.931643,-27.118376,-59.220749,1
1.6,-0.415933,0.683297,-0.338107,-3.639039,-27.551937,-59.331734,1
1.633333,-0.41641,0.684525,-0.337598,-3.416749,-27.712063,-59.246262,1
1.666666,-0.416415,0.686447,-0.337141,-3.239043,-27.840813,-59.032242,1
1.7,-0.416614,0.688131,-0.336593,-3.098177,-27.958374,-58.642075,1
1.733333,-0.416419,0.689845,-0.336653,-3.004272,-27.914762,-58.125767,1
1.766666,-0.415667,0.69214,-0.337189,-2.886201,-27.694517,-57.51585,1
1.8,-0.41484,0.694123,-0.338017,-2.751344,-27.333002,-56.831161,1
1.833333,-0.414073,0.696317,-0.338723,-2.524903,-26.955593,-56.131611,1
1.866666,-0.412686,0.699051,-0.339542,-2.245756,-26.646875,-55.408916,1
1.899999,-0.411388,0.701441,-0.340803,-1.938415,-26.23328,-54.569611,1
1.933333,-0.409957,0.703957,-0.341953,-1.601715,-25.79455,-53.657539,1
1.966666,-0.408406,0.706516,-0.342915,-1.306794,-25.376829,-52.65337,1
1.999999,-0.406842,0.708999,-0.343865,-1.105193,-25.003355,-51.555561,1
2.033333,-0.405132,0.711302,-0.34466,-0.932251,-24.718658,-50.441334,1
2.066666,-0.403144,0.713647,-0.345241,-0.758088,-24.510406,-49.317749,1
2.099999,-0.401255,0.715805,-0.34588,-0.666016,-24.306572,-48.214859,1
2.133333,-0.399225,0.718297,-0.346302,-0.465577,-24.251554,-47.104809,1
2.166666,-0.397262,0.720274,-0.346646,-0.347321,-24.196899,-45.984512,1
