X,Y,Z,Yaw,Pitch,Roll
0.305295,0.625911,-0.486613,-130.470459,-8.590302,-17.648542
0.305848,0.626811,-0.48676,-130.502335,-8.537538,-17.590219
0.306538,0.627988,-0.486834,-130.520065,-8.504699,-17.534189
0.307264,0.628933,-0.486974,-130.512512,-8.445193,-17.474131
0.307462,0.629921,-0.487259,-130.48616,-8.35897,-17.460581
0.307676,0.631059,-0.487272,-130.450165,-8.323944,-17.500683
0.307884,0.632185,-0.487359,-130.454422,-8.289643,-17.517586
0.307979,0.633441,-0.487509,-130.510544,-8.219695,-17.51713
0.307946,0.634862,-0.4878,-130.562836,-8.183468,-17.518257
0.307999,0.636683,-0.488073,-130.671219,-8.127563,-17.476297
0.307704,0.63818,-0.488649,-130.766556,-8.054015,-17.398022
0.30737,0.640006,-0.489298,-130.863693,-8.025048,-17.372631
0.307057,0.642024,-0.489915,-130.984436,-8.035827,-17.355476
0.306332,0.644057,-0.490865,-131.156448,-8.021544,-17.294046
0.305408,0.646277,-0.491513,-131.384384,-8.02914,-17.239119
0.304426,0.649068,-0.491872,-131.706116,-8.121211,-17.106943
0.303934,0.652118,-0.491981,-132.098907,-8.196712,-16.967602
0.303106,0.65505,-0.491451,-132.585449,-8.248655,-16.899401
0.302137,0.658091,-0.490758,-133.174973,-8.243471,-16.871475
0.300662,0.66088,-0.490438,-133.820663,-8.14761,-16.873764
0.299103,0.663296,-0.489973,-134.490295,-8.144528,-16.969282
0.297411,0.665388,-0.489003,-135.067154,-8.270321,-17.020916
0.295811,0.667307,-0.488892,-135.685043,-8.271755,-17.078171
0.294196,0.669102,-0.489097,-136.276581,-8.224825,-17.170757
0.292019,0.67096,-0.489714,-136.974854,-8.140622,-17.335279
0.291053,0.67206,-0.489913,-137.280975,-8.129277,-17.344709
0.289186,0.673693,-0.489978,-137.722443,-8.110535,-17.421064
0.286977,0.674947,-0.489868,-138.334702,-8.112331,-17.654886
0.282998,0.676958,-0.489157,-139.495834,-8.225979,-17.914497
0.280124,0.67793,-0.488598,-140.331879,-8.471954,-17.843884
