t,x,y,z,roll,pitch,yaw,valid
0.0,-1.046021,-0.014834,-0.470854,-0.313934,2.997661,-1.53653,1
0.033333,-1.046021,-0.014834,-0.470854,-0.313934,2.997661,-1.53653,1
0.066667,-1.046021,-0.014834,-0.470854,-0.313934,2.997661,-1.53653,1
0.1,-1.046021,-0.014834,-0.470854,-0.313934,2.997661,-1.53653,1
0.133333,-1.046021,-0.014834,-0.470854,-0.313934,2.997661,-1.53653,1
0.166667,-1.046021,-0.014834,-0.470854,-0.313934,2.997661,-1.53653,1
0.2,-1.046021,-0.014834,-0.470854,-0.313934,2.997661,-1.53653,1
0.233333,-1.046021,-0.014834,-0.470854,-0.313934,2.997661,-1.53653,1
0.266667,-1.046021,-0.014834,-0.470854,-0.313934,2.997661,-1.53653,1
0.3,-1.046021,-0.014834,-0.470854,-0.313934,2.997661,-1.53653,1
0.333333,-1.046021,-0.014834,-0.470854,-0.313934,2.997661,-1.53653,1
0.366667,-1.046021,-0.014834,-0.470854,-0.313934,2.997661,-1.53653,1
0.4,-1.046191,-0.014633,-0.470844,-0.338532,2.986473,-1.543121,1
0.433333,-1.046791,-0.014539,-0.471036,-0.379333,3.052712,-1.572204,1
0.466667,-1.047029,-0.014313,-0.471194,-0.407928,3.126874,-1.62497,1
0.5,-1.047127,-0.014443,-0.471265,-0.43634,3.170287,-1.668518,1
0.533333,-1.047372,-0.014522,-0.471358,-0.458893,3.207306,-1.707947,1
0.566667,-1.048038,-0.014828,-0.471474,-0.489563,3.26022,-1.778168,1
0.6,-1.048253,-0.014929,-0.47161,-0.518555,3.321972,-1.823425,1
0.633333,-1.048576,-0.015399,-0.471591,-0.536743,3.34335,-1.787354,1
0.666667,-1.048542,-0.015314,-0.471543,-0.549561,3.302328,-1.73584,1
0.7,-1.048739,-0.01531,-0.471256,-0.567505,3.227612,-1.687561,1
0.733334,-1.049135,-0.015487,-0.471189,-0.582916,3.196105,-1.659577,1
0.766667,-1.049413,-0.015593,-0.471185,-0.608459,3.195593,-1.663422,1
0.8,-1.04967,-0.015682,-0.471227,-0.649994,3.211131,-1.680573,1
0.833334,-1.049586,-0.015699,-0.471112,-0.642151,3.116895,-1.713806,1
0.866667,-1.049515,-0.015818,-0.470779,-0.706024,2.943408,-1.761841,1
