tv,sv,coverage
0.0,0.5,1.0
v0,v0,0.8516449652777778
v0,v1,0.8340635850694444
v0,v2,0.7430338541666667
v0,v3,0.7998828125
v0,v4,0.8175553385416666
v0,v5,0.8231043836805556
v0,v6,0.7699034288194444
v0,v7,0.6631846788194444
v0,v8,0.5594639756944444
v0,v9,0.6727191840277778
v0,v10,0.9461751302083333
v0,v11,0.944013671875
v1,v0,0.8430902777777778
v1,v1,0.8289116753472222
v1,v2,0.7547081163194445
v1,v3,0.8104904513888889
v1,v4,0.8091840277777778
v1,v5,0.8524891493055555
v1,v6,0.7828917100694445
v1,v7,0.6959266493055556
v1,v8,0.5907042100694444
v1,v9,0.7053255208333333
v1,v10,0.9634537760416667
v1,v11,0.9807660590277778
v2,v0,0.7812282986111111
v2,v1,0.7994759114583333
v2,v2,0.7578081597222223
v2,v3,0.7989518229166667
v2,v4,0.8078927951388889
v2,v5,0.8699924045138889
v2,v6,0.7985861545138889
v2,v7,0.7152517361111111
v2,v8,0.6097016059027778
v2,v9,0.7241232638888889
v2,v10,0.8916384548611112
v2,v11,0.9161707899305556
v3,v0,0.7899869791666667
v3,v1,0.8749826388888889
v3,v2,0.889326171875
v3,v3,0.8781163194444445
v3,v4,0.9022688802083333
v3,v5,0.830341796875
v3,v6,0.8704763454861111
v3,v7,0.808271484375
v3,v8,0.7076323784722223
v3,v9,0.8021994357638889
v3,v10,0.7264073350694444
v3,v11,0.7302387152777777
v4,v0,0.7739518229166666
v4,v1,0.8635546875
v4,v2,0.8347146267361111
v4,v3,0.8441514756944445
v4,v4,0.9031998697916667
v4,v5,0.8321375868055556
v4,v6,0.8456293402777778
v4,v7,0.7538671875
v4,v8,0.6463433159722223
v4,v9,0.7573654513888889
v4,v10,0.758037109375
v4,v11,0.7620258246527778
v5,v0,0.7183441840277778
v5,v1,0.7744542100694445
v5,v2,0.8618120659722223
v5,v3,0.816455078125
v5,v4,0.8166927083333333
v5,v5,0.7841720920138889
v5,v6,0.8538639322916667
v5,v7,0.8517730034722222
v5,v8,0.8099012586805555
v5,v9,0.8291655815972222
v5,v10,0.6702322048611111
v5,v11,0.6747005208333333
v6,v0,0.5465538194444445
v6,v1,0.5515983072916667
v6,v2,0.4964290364583333
v6,v3,0.5250086805555556
v6,v4,0.5188248697916666
v6,v5,0.481630859375
v6,v6,0.4852853732638889
v6,v7,0.4506608072916667
v6,v8,0.4057107204861111
v6,v9,0.45173502604166665
v6,v10,0.4957280815972222
v6,v11,0.4840180121527778
v7,v0,0.2679166666666667
v7,v1,0.27893771701388886
v7,v2,0.23576171875
v7,v3,0.25509331597222223
v7,v4,0.25703776041666665
v7,v5,0.21728949652777776
v7,v6,0.22331163194444445
v7,v7,0.1964377170138889
v7,v8,0.1897146267361111
v7,v9,0.196123046875
v7,v10,0.22215711805555555
v7,v11,0.21245768229166667
v8,v0,0.31831597222222224
v8,v1,0.321318359375
v8,v2,0.2636588541666667
v8,v3,0.2946430121527778
v8,v4,0.2884385850694444
v8,v5,0.2512717013888889
v8,v6,0.2534624565972222
v8,v7,0.20762261284722222
v8,v8,0.18644856770833335
v8,v9,0.20907552083333333
v8,v10,0.2694943576388889
v8,v11,0.25739908854166665
v9,v0,0.35216905381944447
v9,v1,0.3155381944444444
v9,v2,0.24990559895833334
v9,v3,0.2896137152777778
v9,v4,0.27742838541666665
v9,v5,0.264619140625
v9,v6,0.2411990017361111
v9,v7,0.1933344184027778
v9,v8,0.18551432291666667
v9,v9,0.19548828125
v9,v10,0.3092816840277778
v9,v11,0.2940180121527778
v10,v0,0.6261979166666667
v10,v1,0.5784765625
v10,v2,0.5039442274305556
v10,v3,0.5498947482638888
v10,v4,0.5382291666666666
v10,v5,0.533583984375
v10,v6,0.5036924913194445
v10,v7,0.4590017361111111
v10,v8,0.3887934027777778
v10,v9,0.46876519097222225
v10,v10,0.5837727864583333
v10,v11,0.5668825954861111
v11,v0,0.7286675347222222
v11,v1,0.7357042100694444
v11,v2,0.6756608072916667
v11,v3,0.7065256076388889
v11,v4,0.7054481336805556
v11,v5,0.6577506510416666
v11,v6,0.6625119357638889
v11,v7,0.6181532118055556
v11,v8,0.5282096354166667
v11,v9,0.6211979166666667
v11,v10,0.6644422743055556
v11,v11,0.6521820746527778
