tv,sv,coverage
v0,v0,1.0
v0,v1,0.17837456597222223
v0,v2,0.0013444010416666667
v0,v3,0.16162651909722223
v0,v4,0.045115017361111114
v0,v5,0.04282552083333333
v0,v6,0.028394097222222223
v0,v7,0.0
v0,v8,0.5648860677083334
v0,v9,0.04430447048611111
v0,v10,0.0013194444444444445
v0,v11,0.015923394097222224
v1,v0,0.17837456597222223
v1,v1,1.0
v1,v2,0.16970377604166667
v1,v3,0.008375651041666666
v1,v4,0.5644585503472223
v1,v5,0.03991427951388889
v1,v6,0.008377821180555555
v1,v7,0.015923394097222224
v1,v8,0.04581597222222222
v1,v9,0.035034722222222224
v1,v10,0.036493055555555556
v1,v11,0.0
v2,v0,0.0013444010416666667
v2,v1,0.16970377604166667
v2,v2,1.0
v2,v3,0.1684689670138889
v2,v4,0.03647894965277778
v2,v5,0.023988715277777777
v2,v6,0.035030381944444446
v2,v7,0.0
v2,v8,0.0013194444444444445
v2,v9,0.039913194444444446
v2,v10,0.5648871527777778
v2,v11,0.015923394097222224
v3,v0,0.16162651909722223
v3,v1,0.008375651041666666
v3,v2,0.1684689670138889
v3,v3,1.0
v3,v4,0.008374565972222222
v3,v5,0.034832899305555554
v3,v6,0.5649142795138888
v3,v7,0.015923394097222224
v3,v8,0.02875542534722222
v3,v9,0.018909505208333333
v3,v10,0.03520290798611111
v3,v11,0.0
v4,v0,0.045115017361111114
v4,v1,0.5644585503472223
v4,v2,0.03647894965277778
v4,v3,0.008374565972222222
v4,v4,1.0
v4,v5,0.24389539930555557
v4,v6,0.00837673611111111
v4,v7,0.21033854166666666
v4,v8,0.058134765625
v4,v9,0.10464301215277778
v4,v10,0.04904079861111111
v4,v11,0.06179253472222222
v5,v0,0.04282552083333333
v5,v1,0.03991427951388889
v5,v2,0.023988715277777777
v5,v3,0.034832899305555554
v5,v4,0.24389539930555557
v5,v5,1.0
v5,v6,0.24624131944444444
v5,v7,0.0
v5,v8,0.12241753472222222
v5,v9,0.5680913628472222
v5,v10,0.10271267361111111
v5,v11,0.0
v6,v0,0.028394097222222223
v6,v1,0.008377821180555555
v6,v2,0.035030381944444446
v6,v3,0.5649142795138888
v6,v4,0.00837673611111111
v6,v5,0.24624131944444444
v6,v6,1.0
v6,v7,0.17802083333333332
v6,v8,0.04130099826388889
v6,v9,0.0976953125
v6,v10,0.047744140625
v6,v11,0.02947482638888889
v7,v0,0.0
v7,v1,0.015923394097222224
v7,v2,0.0
v7,v3,0.015923394097222224
v7,v4,0.21033854166666666
v7,v5,0.0
v7,v6,0.17802083333333332
v7,v7,1.0
v7,v8,0.07783962673611111
v7,v9,0.0
v7,v10,0.013101128472222221
v7,v11,0.5681456163194445
v8,v0,0.5648860677083334
v8,v1,0.04581597222222222
v8,v2,0.0013194444444444445
v8,v3,0.02875542534722222
v8,v4,0.058134765625
v8,v5,0.12241753472222222
v8,v6,0.04130099826388889
v8,v7,0.07783962673611111
v8,v8,1.0
v8,v9,0.23428276909722223
v8,v10,0.0013194444444444445
v8,v11,0.22636935763888888
v9,v0,0.04430447048611111
v9,v1,0.035034722222222224
v9,v2,0.039913194444444446
v9,v3,0.018909505208333333
v9,v4,0.10464301215277778
v9,v5,0.5680913628472222
v9,v6,0.0976953125
v9,v7,0.0
v9,v8,0.23428276909722223
v9,v9,1.0
v9,v10,0.25124131944444444
v9,v11,0.0
v10,v0,0.0013194444444444445
v10,v1,0.036493055555555556
v10,v2,0.5648871527777778
v10,v3,0.03520290798611111
v10,v4,0.04904079861111111
v10,v5,0.10271267361111111
v10,v6,0.047744140625
v10,v7,0.013101128472222221
v10,v8,0.0013194444444444445
v10,v9,0.25124131944444444
v10,v10,1.0
v10,v11,0.14127604166666666
v11,v0,0.015923394097222224
v11,v1,0.0
v11,v2,0.015923394097222224
v11,v3,0.0
v11,v4,0.06179253472222222
v11,v5,0.0
v11,v6,0.02947482638888889
v11,v7,0.5681456163194445
v11,v8,0.22636935763888888
v11,v9,0.0
v11,v10,0.14127604166666666
v11,v11,1.0
