targetView,camSet,coverage
0,"(0,)",1.0
0,"(1,)",0.17845377604166668
0,"(2,)",0.0013216145833333333
0,"(3,)",0.16159722222222223
0,"(4,)",0.04519097222222222
0,"(5,)",0.04297634548611111
0,"(6,)",0.02837131076388889
0,"(7,)",0.0
0,"(8,)",0.5649131944444444
0,"(9,)",0.044448784722222225
0,"(10,)",0.0013194444444444445
0,"(11,)",0.015923394097222224
0,"(0, 1)",1.0
0,"(0, 2)",1.0
0,"(0, 3)",1.0
0,"(0, 4)",1.0
0,"(0, 5)",1.0
0,"(0, 6)",1.0
0,"(0, 7)",1.0
0,"(0, 8)",1.0
0,"(0, 9)",1.0
0,"(0, 10)",1.0
0,"(0, 11)",1.0
0,"(1, 2)",0.179453125
0,"(1, 3)",0.33423068576388887
0,"(1, 4)",0.1784646267361111
0,"(1, 5)",0.20577799479166667
0,"(1, 6)",0.20100911458333334
0,"(1, 7)",0.17845377604166668
0,"(1, 8)",0.6981727430555555
0,"(1, 9)",0.2072504340277778
0,"(1, 10)",0.179453125
0,"(1, 11)",0.1943771701388889
0,"(2, 3)",0.16194227430555555
0,"(2, 4)",0.046192491319444445
0,"(2, 5)",0.043823784722222224
0,"(2, 6)",0.02871853298611111
0,"(2, 7)",0.0013216145833333333
0,"(2, 8)",0.5649153645833334
0,"(2, 9)",0.04529622395833333
0,"(2, 10)",0.0013216145833333333
0,"(2, 11)",0.017245008680555556
0,"(3, 4)",0.20097113715277778
0,"(3, 5)",0.19444118923611112
0,"(3, 6)",0.16159939236111112
0,"(3, 7)",0.16159722222222223
0,"(3, 8)",0.6981412760416666
0,"(3, 9)",0.1959136284722222
0,"(3, 10)",0.16194227430555555
0,"(3, 11)",0.17752061631944444
0,"(4, 5)",0.07252170138888889
0,"(4, 6)",0.06774522569444444
0,"(4, 7)",0.04519097222222222
0,"(4, 8)",0.5660427517361111
0,"(4, 9)",0.073994140625
0,"(4, 10)",0.046190321180555556
0,"(4, 11)",0.061114366319444446
0,"(5, 6)",0.06121527777777778
0,"(5, 7)",0.04297634548611111
0,"(5, 8)",0.5649142795138888
0,"(5, 9)",0.04446180555555555
0,"(5, 10)",0.043821614583333335
0,"(5, 11)",0.05889973958333333
0,"(6, 7)",0.02837131076388889
0,"(6, 8)",0.5660438368055556
0,"(6, 9)",0.0626877170138889
0,"(6, 10)",0.02871636284722222
0,"(6, 11)",0.04429470486111111
0,"(7, 8)",0.5649131944444444
0,"(7, 9)",0.044448784722222225
0,"(7, 10)",0.0013194444444444445
0,"(7, 11)",0.015923394097222224
0,"(8, 9)",0.5649142795138888
0,"(8, 10)",0.5649131944444444
0,"(8, 11)",0.5649131944444444
0,"(9, 10)",0.045294053819444444
0,"(9, 11)",0.06037217881944444
0,"(10, 11)",0.017242838541666666
0,"(0, 1, 2)",1.0
0,"(0, 1, 3)",1.0
0,"(0, 1, 4)",1.0
0,"(0, 1, 5)",1.0
0,"(0, 1, 6)",1.0
0,"(0, 1, 7)",1.0
0,"(0, 1, 8)",1.0
0,"(0, 1, 9)",1.0
0,"(0, 1, 10)",1.0
0,"(0, 1, 11)",1.0
0,"(0, 2, 3)",1.0
0,"(0, 2, 4)",1.0
0,"(0, 2, 5)",1.0
0,"(0, 2, 6)",1.0
0,"(0, 2, 7)",1.0
0,"(0, 2, 8)",1.0
0,"(0, 2, 9)",1.0
0,"(0, 2, 10)",1.0
0,"(0, 2, 11)",1.0
0,"(0, 3, 4)",1.0
0,"(0, 3, 5)",1.0
0,"(0, 3, 6)",1.0
0,"(0, 3, 7)",1.0
0,"(0, 3, 8)",1.0
0,"(0, 3, 9)",1.0
0,"(0, 3, 10)",1.0
0,"(0, 3, 11)",1.0
0,"(0, 4, 5)",1.0
0,"(0, 4, 6)",1.0
0,"(0, 4, 7)",1.0
0,"(0, 4, 8)",1.0
0,"(0, 4, 9)",1.0
0,"(0, 4, 10)",1.0
0,"(0, 4, 11)",1.0
0,"(0, 5, 6)",1.0
0,"(0, 5, 7)",1.0
0,"(0, 5, 8)",1.0
0,"(0, 5, 9)",1.0
0,"(0, 5, 10)",1.0
0,"(0, 5, 11)",1.0
0,"(0, 6, 7)",1.0
0,"(0, 6, 8)",1.0
0,"(0, 6, 9)",1.0
0,"(0, 6, 10)",1.0
0,"(0, 6, 11)",1.0
0,"(0, 7, 8)",1.0
0,"(0, 7, 9)",1.0
0,"(0, 7, 10)",1.0
0,"(0, 7, 11)",1.0
0,"(0, 8, 9)",1.0
0,"(0, 8, 10)",1.0
0,"(0, 8, 11)",1.0
0,"(0, 9, 10)",1.0
0,"(0, 9, 11)",1.0
0,"(0, 10, 11)",1.0
0,"(1, 2, 3)",0.33426106770833336
0,"(1, 2, 4)",0.17946397569444444
0,"(1, 2, 5)",0.20637912326388888
0,"(1, 2, 6)",0.20103949652777778
0,"(1, 2, 7)",0.179453125
0,"(1, 2, 8)",0.6981727430555555
0,"(1, 2, 9)",0.2078515625
0,"(1, 2, 10)",0.179453125
0,"(1, 2, 11)",0.19537651909722223
0,"(1, 3, 4)",0.3342404513888889
0,"(1, 3, 5)",0.3559494357638889
0,"(1, 3, 6)",0.3342328559027778
0,"(1, 3, 7)",0.33423068576388887
0,"(1, 3, 8)",0.831396484375
0,"(1, 3, 9)",0.357421875
0,"(1, 3, 10)",0.33426106770833336
0,"(1, 3, 11)",0.35015407986111113
0,"(1, 4, 5)",0.20578776041666666
0,"(1, 4, 6)",0.20101888020833333
0,"(1, 4, 7)",0.1784646267361111
0,"(1, 4, 8)",0.6981727430555555
0,"(1, 4, 9)",0.20726019965277778
0,"(1, 4, 10)",0.17946397569444444
0,"(1, 4, 11)",0.19438802083333334
0,"(1, 5, 6)",0.22272786458333332
0,"(1, 5, 7)",0.20577799479166667
0,"(1, 5, 8)",0.6981727430555555
0,"(1, 5, 9)",0.2072634548611111
0,"(1, 5, 10)",0.20637912326388888
0,"(1, 5, 11)",0.22170138888888888
0,"(1, 6, 7)",0.20100911458333334
0,"(1, 6, 8)",0.6993033854166667
0,"(1, 6, 9)",0.22420030381944445
0,"(1, 6, 10)",0.20103949652777778
0,"(1, 6, 11)",0.21693250868055555
0,"(1, 7, 8)",0.6981727430555555
0,"(1, 7, 9)",0.2072504340277778
0,"(1, 7, 10)",0.179453125
0,"(1, 7, 11)",0.1943771701388889
0,"(1, 8, 9)",0.6981727430555555
0,"(1, 8, 10)",0.6981727430555555
0,"(1, 8, 11)",0.6981727430555555
0,"(1, 9, 10)",0.2078515625
0,"(1, 9, 11)",0.223173828125
0,"(1, 10, 11)",0.19537651909722223
0,"(2, 3, 4)",0.20100151909722222
0,"(2, 3, 5)",0.19471245659722222
0,"(2, 3, 6)",0.16194444444444445
0,"(2, 3, 7)",0.16194227430555555
0,"(2, 3, 8)",0.6981412760416666
0,"(2, 3, 9)",0.19618489583333334
0,"(2, 3, 10)",0.16194227430555555
0,"(2, 3, 11)",0.1778656684027778
0,"(2, 4, 5)",0.073125
0,"(2, 4, 6)",0.06777777777777778
0,"(2, 4, 7)",0.046192491319444445
0,"(2, 4, 8)",0.566044921875
0,"(2, 4, 9)",0.0745974392361111
0,"(2, 4, 10)",0.046192491319444445
0,"(2, 4, 11)",0.06211588541666667
0,"(2, 5, 6)",0.06148871527777778
0,"(2, 5, 7)",0.043823784722222224
0,"(2, 5, 8)",0.5649164496527778
0,"(2, 5, 9)",0.04530924479166667
0,"(2, 5, 10)",0.043823784722222224
0,"(2, 5, 11)",0.05974717881944445
0,"(2, 6, 7)",0.02871853298611111
0,"(2, 6, 8)",0.5660460069444444
0,"(2, 6, 9)",0.0629611545138889
0,"(2, 6, 10)",0.02871853298611111
0,"(2, 6, 11)",0.04464192708333333
0,"(2, 7, 8)",0.5649153645833334
0,"(2, 7, 9)",0.04529622395833333
0,"(2, 7, 10)",0.0013216145833333333
0,"(2, 7, 11)",0.017245008680555556
0,"(2, 8, 9)",0.5649164496527778
0,"(2, 8, 10)",0.5649153645833334
0,"(2, 8, 11)",0.5649153645833334
0,"(2, 9, 10)",0.04529622395833333
0,"(2, 9, 11)",0.06121961805555556
0,"(2, 10, 11)",0.017245008680555556
0,"(3, 4, 5)",0.2226974826388889
0,"(3, 4, 6)",0.20097330729166665
0,"(3, 4, 7)",0.20097113715277778
0,"(3, 4, 8)",0.6992708333333333
0,"(3, 4, 9)",0.224169921875
0,"(3, 4, 10)",0.20100151909722222
0,"(3, 4, 11)",0.21689453125
0,"(3, 5, 6)",0.194443359375
0,"(3, 5, 7)",0.19444118923611112
0,"(3, 5, 8)",0.6981423611111112
0,"(3, 5, 9)",0.19592664930555556
0,"(3, 5, 10)",0.19471245659722222
0,"(3, 5, 11)",0.21036458333333333
0,"(3, 6, 7)",0.16159939236111112
0,"(3, 6, 8)",0.6981412760416666
0,"(3, 6, 9)",0.1959157986111111
0,"(3, 6, 10)",0.16194444444444445
0,"(3, 6, 11)",0.17752278645833333
0,"(3, 7, 8)",0.6981412760416666
0,"(3, 7, 9)",0.1959136284722222
0,"(3, 7, 10)",0.16194227430555555
0,"(3, 7, 11)",0.17752061631944444
0,"(3, 8, 9)",0.6981423611111112
0,"(3, 8, 10)",0.6981412760416666
0,"(3, 8, 11)",0.6981412760416666
0,"(3, 9, 10)",0.19618489583333334
0,"(3, 9, 11)",0.21183702256944445
0,"(3, 10, 11)",0.1778656684027778
0,"(4, 5, 6)",0.08947157118055556
0,"(4, 5, 7)",0.07252170138888889
0,"(4, 5, 8)",0.5660427517361111
0,"(4, 5, 9)",0.07400716145833333
0,"(4, 5, 10)",0.07312282986111111
0,"(4, 5, 11)",0.08844509548611111
0,"(4, 6, 7)",0.06774522569444444
0,"(4, 6, 8)",0.5671733940972222
0,"(4, 6, 9)",0.09094401041666667
0,"(4, 6, 10)",0.06777560763888889
0,"(4, 6, 11)",0.08366861979166666
0,"(4, 7, 8)",0.5660427517361111
0,"(4, 7, 9)",0.073994140625
0,"(4, 7, 10)",0.046190321180555556
0,"(4, 7, 11)",0.061114366319444446
0,"(4, 8, 9)",0.5660427517361111
0,"(4, 8, 10)",0.5660427517361111
0,"(4, 8, 11)",0.5660427517361111
0,"(4, 9, 10)",0.07459526909722222
0,"(4, 9, 11)",0.08991753472222222
0,"(4, 10, 11)",0.06211371527777778
0,"(5, 6, 7)",0.06121527777777778
0,"(5, 6, 8)",0.566044921875
0,"(5, 6, 9)",0.06270073784722222
0,"(5, 6, 10)",0.06148654513888889
0,"(5, 6, 11)",0.077138671875
0,"(5, 7, 8)",0.5649142795138888
0,"(5, 7, 9)",0.04446180555555555
0,"(5, 7, 10)",0.043821614583333335
0,"(5, 7, 11)",0.05889973958333333
0,"(5, 8, 9)",0.5649142795138888
0,"(5, 8, 10)",0.5649142795138888
0,"(5, 8, 11)",0.5649142795138888
0,"(5, 9, 10)",0.04530707465277778
0,"(5, 9, 11)",0.06038519965277778
0,"(5, 10, 11)",0.05974500868055556
0,"(6, 7, 8)",0.5660438368055556
0,"(6, 7, 9)",0.0626877170138889
0,"(6, 7, 10)",0.02871636284722222
0,"(6, 7, 11)",0.04429470486111111
0,"(6, 8, 9)",0.566044921875
0,"(6, 8, 10)",0.5660438368055556
0,"(6, 8, 11)",0.5660438368055556
0,"(6, 9, 10)",0.062958984375
0,"(6, 9, 11)",0.07861111111111112
0,"(6, 10, 11)",0.04463975694444444
0,"(7, 8, 9)",0.5649142795138888
0,"(7, 8, 10)",0.5649131944444444
0,"(7, 8, 11)",0.5649131944444444
0,"(7, 9, 10)",0.045294053819444444
0,"(7, 9, 11)",0.06037217881944444
0,"(7, 10, 11)",0.017242838541666666
0,"(8, 9, 10)",0.5649142795138888
0,"(8, 9, 11)",0.5649142795138888
0,"(8, 10, 11)",0.5649131944444444
0,"(9, 10, 11)",0.06121744791666667
1,"(0,)",0.17845377604166668
1,"(1,)",1.0
1,"(2,)",0.1689138454861111
1,"(3,)",0.00837890625
1,"(4,)",0.56447265625
1,"(5,)",0.03981987847222222
1,"(6,)",0.00837673611111111
1,"(7,)",0.015923394097222224
1,"(8,)",0.04589192708333333
1,"(9,)",0.03494357638888889
1,"(10,)",0.03657769097222222
1,"(11,)",0.0
1,"(0, 1)",1.0
1,"(0, 2)",0.3470453559027778
1,"(0, 3)",0.18101236979166666
1,"(0, 4)",0.6977463107638889
1,"(0, 5)",0.20262152777777778
1,"(0, 6)",0.18101453993055555
1,"(0, 7)",0.1943771701388889
1,"(0, 8)",0.17915147569444445
1,"(0, 9)",0.19774522569444444
1,"(0, 10)",0.21471137152777778
1,"(0, 11)",0.17845377604166668
1,"(1, 2)",1.0
1,"(1, 3)",1.0
1,"(1, 4)",1.0
1,"(1, 5)",1.0
1,"(1, 6)",1.0
1,"(1, 7)",1.0
1,"(1, 8)",1.0
1,"(1, 9)",1.0
1,"(1, 10)",1.0
1,"(1, 11)",1.0
1,"(2, 3)",0.17475694444444445
1,"(2, 4)",0.6968055555555556
1,"(2, 5)",0.19900933159722223
1,"(2, 6)",0.17475694444444445
1,"(2, 7)",0.18483723958333334
1,"(2, 8)",0.21448567708333333
1,"(2, 9)",0.19413519965277778
1,"(2, 10)",0.1689138454861111
1,"(2, 11)",0.1689138454861111
1,"(3, 4)",0.5644791666666666
1,"(3, 5)",0.04280056423611111
1,"(3, 6)",0.00838107638888889
1,"(3, 7)",0.024302300347222222
1,"(3, 8)",0.04845486111111111
1,"(3, 9)",0.03792209201388889
1,"(3, 10)",0.042422960069444446
1,"(3, 11)",0.00837890625
1,"(4, 5)",0.5645421006944444
1,"(4, 6)",0.5644748263888889
1,"(4, 7)",0.56447265625
1,"(4, 8)",0.56583984375
1,"(4, 9)",0.5645421006944444
1,"(4, 10)",0.5656043836805555
1,"(4, 11)",0.56447265625
1,"(5, 6)",0.04279839409722222
1,"(5, 7)",0.055743272569444446
1,"(5, 8)",0.06979166666666667
1,"(5, 9)",0.03982313368055555
1,"(5, 10)",0.06667317708333333
1,"(5, 11)",0.03981987847222222
1,"(6, 7)",0.024300130208333333
1,"(6, 8)",0.04845269097222222
1,"(6, 9)",0.037919921875
