id,x,y,z
1,1500.0,1499.9999,1000.0
2,1500.0,1312.4999,1000.0
3,1500.0,1499.9999,937.5
4,1500.0,1312.4999,937.5
5,1500.0,1124.9999,1000.0
6,1500.0,1499.9999,875.0001
7,1500.0,1124.9999,937.5
8,1500.0,937.4999,1000.0
9,1500.0,1312.4999,875.0001
10,1500.0,1499.9999,812.5001
11,1500.0,937.4999,937.5
12,1500.0,749.9999,1000.0
13,1500.0,1124.9999,875.0
14,1500.0,1312.4999,812.5001
15,1500.0,1499.9999,750.0001
16,1500.0,749.9999,937.5
17,1500.0,562.4999,1000.0
18,1500.0,1312.4999,750.0001
19,1500.0,1499.9999,687.5001
20,1500.0,1124.9999,812.5
21,1500.0,937.4999,875.0
22,1500.0,1312.4999,687.5001
23,1500.0,1499.9999,625.0001
24,1500.0,1124.9999,750.0
25,1500.0,937.4999,812.5
26,1500.0,749.9999,875.0
27,1500.0,562.4999,937.5
28,1500.0,374.9999,1000.0
29,1500.0,749.9999,812.5
30,1500.0,374.9999,937.5
31,1500.0,187.5,999.9999
32,1500.0,562.4999,875.0
33,1500.0,187.5,937.4999
34,1500.0,-0.0,999.9999
35,1500.0,374.9999,875.0
36,1500.0,562.4999,812.5
37,1500.0,-0.0,937.4999
38,1500.0,-187.5,999.9999
39,1500.0,187.5,875.0
40,1500.0,374.9999,812.5
41,1500.0,-187.5,937.4999
42,1500.0,-375.0,999.9999
43,1500.0,-0.0,875.0
44,1500.0,187.5,812.5
45,1500.0,-375.0,937.4999
46,1500.0,-562.4999,999.9999
47,1500.0,-187.5,875.0
48,1500.0,-0.0,812.5
49,1500.0,-562.4999,937.4999
50,1500.0,-749.9999,999.9999
51,1500.0,-375.0,874.9999
52,1500.0,-187.5,812.5
53,1500.0,-749.9999,937.4999
54,1500.0,-937.4999,999.9999
55,1500.0,-562.4999,874.9999
56,1500.0,-375.0,812.4999
57,1500.0,-937.4999,937.4999
58,1500.0,-1124.9999,999.9999
59,1500.0,-749.9999,874.9999
60,1500.0,-562.4999,812.4999
