Name,X,Y,Z,Yaw,Pitch,Roll
v0,0.0498,1.0951,-1.7871,-351.1272,-0.0094,6.9116
v1,0.0451,1.0565,-1.7613,-355.6834,-0.1352,23.1255
v2,0.0718,1.0696,-1.7646,-1.6679,-355.2698,19.9062
v3,0.0779,1.0803,-1.7649,-358.3397,-357.6226,17.2504
v4,0.0413,1.0407,-1.7498,-359.0709,-359.9001,27.1575
v5,0.0498,1.0822,-1.7776,-0.4109,-2.3889,10.8884
v6,-0.1435,0.9811,-1.7688,-4.1106,-359.2487,20.1967
v7,-0.1249,0.9405,-1.7775,-8.9255,-356.185,14.1814
v8,-0.032,0.9845,-1.7577,-9.4295,-346.416,19.804
v9,-0.2332,0.9982,-1.7801,-8.2075,-356.3862,10.9656
v10,0.2326,1.0666,-1.7684,-352.2073,-6.5373,5.2286
v11,0.2334,1.0783,-1.77,-353.225,-7.0137,4.4795
