Name,X,Y,Z,Yaw,Pitch,Roll
v0,0.2306,1.0756,1.7592,353.946,-7.2476,12.1195
v1,0.2349,1.0809,1.7701,353.3208,-6.3169,4.7393
v2,0.237,1.0807,1.7678,357.2974,-7.6876,4.6775
v3,-0.1207,0.6024,1.9229,0.5867,-354.8062,30.5695
v4,-0.1227,0.6,1.9106,0.0576,-358.3303,36.8407
v5,0.0212,0.5562,1.9205,7.7298,-351.1829,32.8009
v6,0.6454,0.1068,1.9329,323.9436,-352.6137,20.0556
v7,1.1172,-0.3657,1.8579,294.3708,-357.6891,40.6376
v8,1.2315,-0.3612,1.8947,284.2491,-356.0103,19.1275
v9,1.0702,-0.3036,1.9305,277.8887,-2.4035,8.1098
v10,0.4823,-0.1066,1.9573,328.2039,-358.007,4.8071
v11,0.2614,0.2509,1.9109,343.8502,-357.3894,33.8659
