t,x,y,z,roll,pitch,yaw,valid
0.0,-0.163245,-0.024771,-1.645671,1.262334,-14.170135,-1.413513,0
0.033333,-0.163245,-0.024771,-1.645671,1.262334,-14.170135,-1.413513,0
0.066667,-0.163245,-0.024771,-1.645671,1.262334,-14.170135,-1.413513,0
0.1,-0.163245,-0.024771,-1.645671,1.262334,-14.170135,-1.413513,0
0.133333,-0.163245,-0.024771,-1.645671,1.262334,-14.170135,-1.413513,0
0.166667,-0.163245,-0.024771,-1.645671,1.262334,-14.170135,-1.413513,0
0.2,-0.163245,-0.024771,-1.645671,1.262334,-14.170135,-1.413513,0
0.233333,-0.163245,-0.024771,-1.645671,1.262334,-14.170135,-1.413513,0
0.266667,-0.163245,-0.024771,-1.645671,1.262334,-14.170135,-1.413513,0
0.3,-0.163245,-0.024771,-1.645671,1.262334,-14.170135,-1.413513,0
0.333333,-0.163245,-0.024771,-1.645671,1.262334,-14.170135,-1.413513,0
0.366667,-0.163245,-0.024771,-1.645671,1.262334,-14.170135,-1.413513,0
0.4,-0.171217,-0.028207,-1.646676,1.108978,-14.161468,-1.316559,0
0.433333,-0.196071,-0.04002,-1.648835,0.571518,-14.130404,-0.899933,0
0.466667,-0.196071,-0.04002,-1.648835,0.571518,-14.130404,-0.899933,0
0.5,-0.276127,-0.074361,-1.649948,0.321668,-14.512696,0.764134,0
0.533333,-0.276127,-0.074361,-1.649948,0.321668,-14.512696,0.764134,0
0.566667,-0.330839,-0.097243,-1.650915,0.61766,-15.439724,1.915065,0
0.6,-0.330839,-0.097243,-1.650915,0.61766,-15.439724,1.915065,0
0.633333,-0.392052,-0.122676,-1.654298,0.977482,-17.489744,3.734549,0
0.666667,-0.392052,-0.122676,-1.654298,0.977482,-17.489744,3.734549,0
0.7,-0.437495,-0.14076,-1.660478,1.618334,-18.422241,4.461792,0
0.733334,-0.488682,-0.158775,-1.671268,2.570587,-19.208281,5.280062,0
0.766667,-0.488682,-0.158775,-1.671268,2.570587,-19.208281,5.280062,0
0.8,-0.524731,-0.170327,-1.683649,2.437455,-19.395695,6.23735,0
0.833334,-0.524731,-0.170327,-1.683649,2.437455,-19.395695,6.23735,0
0.866667,-0.554026,-0.17846,-1.697953,1.213631,-19.173584,7.772005,0
0.9,-0.554026,-0.17846,-1.697953,1.213631,-19.173584,7.772005,0
0.933334,-0.583648,-0.184139,-1.711491,1.693586,-19.327446,8.752857,0
0.966667,-0.583648,-0.184139,-1.711491,1.693586,-19.327446,8.752857,0
1.0,-0.605447,-0.186973,-1.723198,1.692539,-18.904234,9.384872,0
1.033334,-0.605447,-0.186973,-1.723198,1.692539,-18.904234,9.384872,0
1.066667,-0.626405,-0.189465,-1.737333,0.790603,-17.360291,9.38252,0
1.1,-0.641398,-0.188227,-1.746603,0.584285,-16.071524,9.380553,0
1.133334,-0.641398,-0.188227,-1.746603,0.584285,-16.071524,9.380553,0
1.166667,-0.65674,-0.184116,-1.754207,0.164056,-15.054958,9.194093,0
1.2,-0.65674,-0.184116,-1.754207,0.164056,-15.054958,9.194093,0
1.233333,-0.666778,-0.179509,-1.75621,0.254558,-16.106781,8.935987,0
1.266667,-0.666778,-0.179509,-1.75621,0.254558,-16.106781,8.935987,0
1.3,-0.671141,-0.171632,-1.754547,0.397277,-18.236359,8.725425,0
1.333333,-0.671141,-0.171632,-1.754547,0.397277,-18.236359,8.725425,0
1.366667,-0.673549,-0.165956,-1.753171,1.375919,-18.720093,8.205575,0
1.4,-0.679919,-0.158919,-1.752644,2.1994,-18.741539,8.524216,0
1.433333,-0.679919,-0.158919,-1.752644,2.1994,-18.741539,8.524216,0
1.466667,-0.684404,-0.154786,-1.754518,2.24895,-15.509392,8.485978,0
1.5,-0.684404,-0.154786,-1.754518,2.24895,-15.509392,8.485978,0
1.533333,-0.68785,-0.152104,-1.755704,1.927917,-12.483611,8.961737,0
1.566666,-0.68785,-0.152104,-1.755704,1.927917,-12.483611,8.961737,0
1.6,-0.691385,-0.150427,-1.754069,1.845046,-10.414918,8.974614,0
1.633333,-0.696032,-0.149572,-1.748585,1.314369,-9.124846,8.974872,0
1.666666,-0.696032,-0.149572,-1.748585,1.314369,-9.124846,8.974872,0
1.7,-0.696998,-0.149546,-1.747154,1.246166,-8.983003,8.898006,0
1.733333,-0.696998,-0.149546,-1.747154,1.246166,-8.983003,8.898006,0
1.766666,-0.699003,-0.150007,-1.746984,1.588004,-9.218194,8.647286,0
1.8,-0.699003,-0.150007,-1.746984,1.588004,-9.218194,8.647286,0
1.833333,-0.702287,-0.151091,-1.745764,1.935599,-9.50125,8.392468,0
1.866666,-0.702287,-0.151091,-1.745764,1.935599,-9.50125,8.392468,0
1.899999,-0.706013,-0.153029,-1.74093,2.554359,-11.171538,8.040392,0
1.933333,-0.707394,-0.153733,-1.737272,2.644222,-12.807465,8.030004,0
1.966666,-0.707394,-0.153733,-1.737272,2.644222,-12.807465,8.030004,0
